aDataCounter,aTime,aInputTorque,aSensorAngle
1,0,30.0,0.0
2,1000000,30.0,2.5905341317411512e-05
3,2000000,24.96443748474121,0.00025596804334782064
4,3000000,24.96443748474121,0.0006473155226558447
5,4000000,22.7589168548584,0.0010654448997229338
6,5000000,22.7589168548584,0.001683830632828176
7,6000000,19.47022247314453,0.002399672521278262
8,7000000,19.47022247314453,0.0031494470313191414
9,8000000,14.873614311218262,0.0040900749154388905
10,9000000,14.873614311218262,0.005061334930360317
11,10000000,12.775117874145508,0.00607138080522418
12,11000000,12.775117874145508,0.007235859986394644
13,12000000,11.558061599731445,0.008382977917790413
14,13000000,11.558061599731445,0.009596061892807484
15,14000000,8.23002815246582,0.010932067409157753
16,15000000,8.23002815246582,0.012224804610013962
17,16000000,5.676502227783203,0.013600672595202923
18,17000000,5.676502227783203,0.015041961334645748
19,18000000,5.393880844116211,0.016423514112830162
20,19000000,5.393880844116211,0.017901364713907242
21,20000000,3.850478410720825,0.01940114237368107
22,21000000,3.850478410720825,0.02085648663341999
23,22000000,1.1882799863815308,0.02241363376379013
24,23000000,1.1882799863815308,0.02394275553524494
25,24000000,0.7067469358444214,0.025439996272325516
26,25000000,0.7067469358444214,0.027020851150155067
27,26000000,0.6994125843048096,0.028538964688777924
28,27000000,0.6994125843048096,0.030058586969971657
29,28000000,-1.26755690574646,0.03164518624544144
30,29000000,-1.26755690574646,0.03315085172653198
31,30000000,-2.454526662826538,0.03468136861920357
32,31000000,-2.454526662826538,0.0362374410033226
33,32000000,-1.8124746084213257,0.03770240396261215
34,33000000,-1.8124746084213257,0.03921378776431084
35,34000000,-2.5022311210632324,0.04071968421339989
36,35000000,-2.5022311210632324,0.04215147718787193
37,36000000,-4.1002349853515625,0.043642669916152954
38,37000000,-4.1002349853515625,0.04508863762021065
39,38000000,-3.7755959033966064,0.04647503420710564
40,39000000,-3.7755959033966064,0.04791354387998581
41,40000000,-3.2711174488067627,0.049279727041721344
42,41000000,-3.2711174488067627,0.05062039941549301
43,42000000,-4.534084796905518,0.05200529471039772
44,43000000,-4.534084796905518,0.053302861750125885
45,44000000,-4.99901819229126,0.05459960177540779
46,45000000,-4.99901819229126,0.05590960755944252
47,46000000,-3.9911112785339355,0.05712447315454483
48,47000000,-3.9911112785339355,0.05836343392729759
49,48000000,-4.3158745765686035,0.05959245190024376
50,49000000,-4.3158745765686035,0.060741767287254333
51,50000000,-5.340099334716797,0.06193136051297188
52,51000000,-5.340099334716797,0.06307775527238846
53,52000000,-4.661157131195068,0.06415802985429764
54,53000000,-4.661157131195068,0.0652778148651123
55,54000000,-4.014935493469238,0.06633182615041733
56,55000000,-4.014935493469238,0.06735158711671829
57,56000000,-4.928211688995361,0.06840812414884567
58,57000000,-4.928211688995361,0.0693848729133606
59,58000000,-5.027502059936523,0.07035087049007416
60,59000000,-5.027502059936523,0.07132986187934875
61,60000000,-3.946439027786255,0.07222170382738113
62,61000000,-3.946439027786255,0.07312827557325363
63,62000000,-4.154309272766113,0.07402981072664261
64,63000000,-4.154309272766113,0.07485666871070862
65,64000000,-4.8684163093566895,0.07571529597043991
66,65000000,-4.8684163093566895,0.07654011249542236
67,66000000,-4.073233604431152,0.07730161398649216
68,67000000,-4.073233604431152,0.07809803634881973
69,68000000,-3.4635074138641357,0.07884101569652557
70,69000000,-3.4635074138641357,0.07954906672239304
71,70000000,-4.2055816650390625,0.08029241859912872
72,71000000,-4.2055816650390625,0.08096838742494583
73,72000000,-4.127381324768066,0.08163060247898102
74,73000000,-4.127381324768066,0.0823095515370369
75,74000000,-3.1125073432922363,0.08291343599557877
76,75000000,-3.1125073432922363,0.08352813869714737
77,76000000,-3.315641164779663,0.08414524048566818
78,77000000,-3.315641164779663,0.08469641208648682
79,78000000,-3.8544182777404785,0.0852750614285469
80,79000000,-3.8544182777404785,0.08583080023527145
81,80000000,-3.0596041679382324,0.0863293781876564
82,81000000,-3.0596041679382324,0.08686099946498871
